booking_id,hotel,arrival_date,arrival_year,arrival_month,lead_time,lead_time_category,market_segment,deposit_type,customer_type,country,agent,adr,total_nights,previous_cancellations,total_of_special_requests,days_in_waiting_list,is_repeated_guest,estimated_revenue,is_canceled,risk_prob,risk_level,predicted_cancel,expected_lost_revenue,expected_realised_revenue
61,Resort Hotel,2015-07-02,2015,July,10,Short Term,Online TA,No Deposit,Transient,PRT,241.0,117.81,2,0,0,0,0,235.62,0,0.4224,Medium,0,99.53,136.09
62,Resort Hotel,2015-07-02,2015,July,5,Last Minute,Online TA,No Deposit,Transient,IRL,240.0,135.0,2,0,2,0,0,270.0,0,0.0163,Low,0,4.4,265.6
63,Resort Hotel,2015-07-02,2015,July,17,Short Term,Direct,No Deposit,Transient,ESP,250.0,133.0,3,0,1,0,0,399.0,0,0.0098,Low,0,3.91,395.09
64,Resort Hotel,2015-07-02,2015,July,93,Long Term,Offline TA/TO,No Deposit,Contract,IRL,115.0,58.95,3,0,0,0,0,176.85000000000002,0,0.0053,Low,0,0.94,175.91
65,Resort Hotel,2015-07-02,2015,July,3,Last Minute,Online TA,No Deposit,Transient,PRT,240.0,136.33,3,0,2,0,0,408.99,1,0.0624,Low,0,25.52,383.47
66,Resort Hotel,2015-07-03,2015,July,10,Short Term,Online TA,No Deposit,Transient,USA,240.0,153.0,2,0,0,0,0,306.0,0,0.1663,Low,0,50.89,255.11
67,Resort Hotel,2015-07-03,2015,July,3,Last Minute,Online TA,No Deposit,Transient,ESP,240.0,110.5,2,0,0,0,0,221.0,0,0.0439,Low,0,9.7,211.3
68,Resort Hotel,2015-07-03,2015,July,51,Medium Term,Online TA,No Deposit,Transient,POL,242.0,97.0,2,0,0,0,0,194.0,0,0.0127,Low,0,2.46,191.54
69,Resort Hotel,2015-07-03,2015,July,71,Medium Term,Offline TA/TO,No Deposit,Transient,PRT,242.0,110.3,2,0,2,0,0,220.6,1,0.3231,Medium,0,71.28,149.32
70,Resort Hotel,2015-07-03,2015,July,63,Medium Term,Online TA,No Deposit,Transient,PRT,240.0,82.0,2,0,2,0,0,164.0,1,0.3288,Medium,0,53.92,110.08
71,Resort Hotel,2015-07-03,2015,July,62,Medium Term,Online TA,No Deposit,Transient,PRT,240.0,97.0,2,0,1,0,0,194.0,1,0.3691,Medium,0,71.61,122.39
72,Resort Hotel,2015-07-03,2015,July,101,Long Term,Online TA,No Deposit,Transient,PRT,240.0,73.8,2,0,1,0,0,147.6,1,0.3999,Medium,0,59.03,88.57
73,Resort Hotel,2015-07-03,2015,July,2,Last Minute,Offline TA/TO,No Deposit,Transient,PRT,3.0,91.5,2,0,0,0,0,183.0,0,0.1146,Low,0,20.97,162.03
74,Resort Hotel,2015-07-03,2015,July,15,Short Term,Online TA,No Deposit,Transient,ESP,240.0,114.5,2,0,0,0,0,229.0,0,0.1542,Low,0,35.31,193.69
75,Resort Hotel,2015-07-03,2015,July,51,Medium Term,Online TA,No Deposit,Transient,PRT,242.0,110.3,2,0,0,0,0,220.6,1,0.691,High,1,152.43,68.17
76,Resort Hotel,2015-07-03,2015,July,3,Last Minute,Online TA,No Deposit,Transient,ESP,240.0,90.9,3,0,0,0,0,272.70000000000005,0,0.0389,Low,0,10.61,262.09
77,Resort Hotel,2015-07-03,2015,July,48,Medium Term,Online TA,No Deposit,Transient,PRT,240.0,123.0,3,0,0,0,0,369.0,1,0.7626,High,1,281.4,87.6
78,Resort Hotel,2015-07-03,2015,July,2,Last Minute,Online TA,No Deposit,Transient,PRT,240.0,122.0,4,0,0,0,0,488.0,0,0.2587,Medium,0,126.25,361.75
79,Resort Hotel,2015-07-03,2015,July,72,Medium Term,Offline TA/TO,No Deposit,Transient,DEU,105.0,110.7,4,0,0,0,0,442.8,0,0.0031,Low,0,1.37,441.43
80,Resort Hotel,2015-07-03,2015,July,81,Medium Term,Offline TA/TO,No Deposit,Transient,PRT,5.0,85.86,8,0,0,0,0,686.88,0,0.5548,High,1,381.08,305.8
81,Resort Hotel,2015-07-03,2015,July,99,Long Term,Offline TA/TO,No Deposit,Contract,FRA,40.0,58.95,9,0,0,0,0,530.5500000000001,0,0.0018,Low,0,0.95,529.6
82,Resort Hotel,2015-07-03,2015,July,368,Very Long Term,Offline TA/TO,No Deposit,Contract,PRT,40.0,55.68,10,0,0,0,0,556.8,1,0.8146,High,1,453.57,103.23
83,Resort Hotel,2015-07-03,2015,July,364,Very Long Term,Offline TA/TO,No Deposit,Contract,GBR,40.0,55.68,10,0,0,0,0,556.8,0,0.0047,Low,0,2.62,554.18
84,Resort Hotel,2015-07-03,2015,July,81,Medium Term,Direct,No Deposit,Transient,PRT,250.0,124.0,10,0,1,0,0,1240.0,1,0.2276,Low,0,282.22,957.78
85,Resort Hotel,2015-07-03,2015,July,99,Long Term,Offline TA/TO,No Deposit,Contract,GBR,115.0,111.15,10,0,0,0,0,1111.5,0,0.0051,Low,0,5.67,1105.83
86,Resort Hotel,2015-07-03,2015,July,324,Very Long Term,Offline TA/TO,No Deposit,Contract,GBR,40.0,134.73,14,0,0,0,0,1886.22,0,0.0031,Low,0,5.85,1880.37
87,Resort Hotel,2015-07-03,2015,July,69,Medium Term,Online TA,No Deposit,Transient,GBR,241.0,92.45,14,0,1,0,0,1294.3,0,0.006,Low,0,7.77,1286.53
88,Resort Hotel,2015-07-03,2015,July,79,Medium Term,Offline TA/TO,No Deposit,Transient,PRT,242.0,108.73,21,0,2,0,0,2283.33,1,0.4635,Medium,0,1058.32,1225.01
89,Resort Hotel,2015-07-03,2015,July,12,Short Term,Online TA,No Deposit,Transient,GBR,240.0,73.8,1,0,0,0,0,73.8,0,0.1408,Low,0,10.39,63.41
90,Resort Hotel,2015-07-03,2015,July,9,Short Term,Online TA,No Deposit,Transient,PRT,240.0,98.0,1,0,2,0,0,98.0,0,0.1539,Low,0,15.08,82.92
91,Resort Hotel,2015-07-03,2015,July,1,Last Minute,Online TA,No Deposit,Transient,ESP,240.0,131.0,1,0,1,0,0,131.0,0,0.0095,Low,0,1.24,129.76
92,Resort Hotel,2015-07-03,2015,July,21,Short Term,Online TA,No Deposit,Transient,PRT,240.0,123.0,1,0,0,0,0,123.0,0,0.6649,High,1,81.78,41.22
93,Resort Hotel,2015-07-03,2015,July,9,Short Term,Online TA,No Deposit,Transient,USA,241.0,94.71,1,0,0,0,0,94.71,0,0.0124,Low,0,1.17,93.54
94,Resort Hotel,2015-07-03,2015,July,109,Long Term,Online TA,No Deposit,Transient,BEL,240.0,123.0,1,0,2,0,0,123.0,0,0.0306,Low,0,3.76,119.24
95,Resort Hotel,2015-07-03,2015,July,109,Long Term,Online TA,No Deposit,Transient,PRT,240.0,123.0,2,0,1,0,0,246.0,1,0.3939,Medium,0,96.9,149.1
96,Resort Hotel,2015-07-03,2015,July,72,Medium Term,Online TA,No Deposit,Transient,PRT,240.0,73.8,2,0,1,0,0,147.6,1,0.3718,Medium,0,54.88,92.72
97,Resort Hotel,2015-07-03,2015,July,63,Medium Term,Online TA,No Deposit,Transient,PRT,242.0,117.0,7,0,1,0,0,819.0,1,0.4857,Medium,0,397.79,421.21
98,Resort Hotel,2015-07-03,2015,July,63,Medium Term,Offline TA/TO,No Deposit,Transient,ESP,105.0,196.54,7,0,1,0,0,1375.78,0,0.0017,Low,0,2.34,1373.44
99,Resort Hotel,2015-07-03,2015,July,101,Long Term,Online TA,No Deposit,Transient,PRT,240.0,99.3,7,0,2,0,0,695.1,0,0.4968,Medium,0,345.33,349.77
100,Resort Hotel,2015-07-03,2015,July,102,Long Term,Direct,No Deposit,Transient,DEU,250.0,90.95,7,0,0,0,0,636.65,0,0.0216,Low,0,13.75,622.9
101,Resort Hotel,2015-07-04,2015,July,4,Last Minute,Direct,No Deposit,Transient,ESP,250.0,92.67,3,0,1,0,0,278.01,0,0.0042,Low,0,1.17,276.84
102,Resort Hotel,2015-07-04,2015,July,98,Long Term,Offline TA/TO,No Deposit,Transient,FRA,8.0,71.55,3,0,0,0,0,214.65,0,0.0036,Low,0,0.77,213.88
103,Resort Hotel,2015-07-04,2015,July,92,Long Term,Offline TA/TO,No Deposit,Transient,FRA,241.0,96.49,6,0,2,0,0,578.9399999999999,0,0.0014,Low,0,0.81,578.13
104,Resort Hotel,2015-07-04,2015,July,95,Long Term,Online TA,No Deposit,Transient,PRT,240.0,85.8,6,0,2,0,0,514.8,0,0.4198,Medium,0,216.11,298.69
105,Resort Hotel,2015-07-04,2015,July,102,Long Term,Online TA,No Deposit,Transient,PRT,240.0,96.3,7,0,1,0,0,674.1,0,0.5418,High,1,365.23,308.87
106,Resort Hotel,2015-07-04,2015,July,26,Short Term,Online TA,No Deposit,Transient,PRT,240.0,163.0,7,0,0,0,0,1141.0,1,0.7906,High,1,902.07,238.93
107,Resort Hotel,2015-07-04,2015,July,73,Medium Term,Direct,No Deposit,Transient,PRT,250.0,172.0,7,0,1,0,0,1204.0,1,0.2008,Low,0,241.76,962.24
108,Resort Hotel,2015-07-04,2015,July,102,Long Term,Online TA,No Deposit,Transient,PRT,240.0,110.7,7,0,1,0,0,774.9,1,0.5175,High,1,401.01,373.89
109,Resort Hotel,2015-07-04,2015,July,115,Long Term,Offline TA/TO,No Deposit,Transient,PRT,134.0,58.95,7,0,1,0,0,412.65,0,0.4196,Medium,0,173.15,239.5
110,Resort Hotel,2015-07-04,2015,July,102,Long Term,Online TA,No Deposit,Transient,PRT,240.0,73.8,7,0,2,0,0,516.6,0,0.5038,High,1,260.26,256.34
111,Resort Hotel,2015-07-04,2015,July,86,Medium Term,Online TA,No Deposit,Transient,CHE,240.0,97.0,7,0,2,0,0,679.0,0,0.0484,Low,0,32.86,646.14
112,Resort Hotel,2015-07-04,2015,July,78,Medium Term,Online TA,No Deposit,Transient,PRT,240.0,139.0,7,0,2,0,0,973.0,0,0.4158,Medium,0,404.57,568.43
113,Resort Hotel,2015-07-04,2015,July,52,Medium Term,Online TA,No Deposit,Transient,GBR,147.0,67.24,7,0,0,0,0,470.68,0,0.0335,Low,0,15.77,454.91
114,Resort Hotel,2015-07-04,2015,July,29,Short Term,Online TA,No Deposit,Transient,PRT,241.0,116.5,8,0,1,0,0,932.0,0,0.4583,Medium,0,427.14,504.86
115,Resort Hotel,2015-07-04,2015,July,101,Long Term,Online TA,No Deposit,Transient,PRT,240.0,96.3,8,0,1,0,0,770.4,1,0.5628,High,1,433.58,336.82
116,Resort Hotel,2015-07-04,2015,July,109,Long Term,Online TA,No Deposit,Transient,PRT,240.0,123.0,8,0,1,0,0,984.0,0,0.5197,High,1,511.38,472.62
117,Resort Hotel,2015-07-04,2015,July,92,Long Term,Offline TA/TO,No Deposit,Contract,GBR,40.0,71.55,10,0,1,0,0,715.5,0,0.0014,Low,0,1.0,714.5
118,Resort Hotel,2015-07-04,2015,July,92,Long Term,Offline TA/TO,No Deposit,Contract,PRT,40.0,71.55,10,0,1,0,0,715.5,0,0.441,Medium,0,315.54,399.96
119,Resort Hotel,2015-07-04,2015,July,79,Medium Term,Direct,No Deposit,Transient,PRT,250.0,149.0,10,0,1,0,0,1490.0,0,0.2462,Low,0,366.84,1123.16
120,Resort Hotel,2015-07-04,2015,July,2,Last Minute,Online TA,No Deposit,Transient,PRT,240.0,163.0,1,0,0,0,0,163.0,0,0.1675,Low,0,27.3,135.7
121,Resort Hotel,2015-07-04,2015,July,30,Short Term,Offline TA/TO,No Deposit,Contract,PRT,8.0,79.5,1,0,0,0,0,79.5,0,0.4691,Medium,0,37.29,42.21
122,Resort Hotel,2015-07-04,2015,July,51,Medium Term,Online TA,No Deposit,Transient,PRT,240.0,105.0,1,0,0,0,0,105.0,1,0.6531,High,1,68.58,36.42
123,Resort Hotel,2015-07-04,2015,July,36,Medium Term,Direct,No Deposit,Transient,PRT,250.0,123.0,1,0,0,0,0,123.0,1,0.4226,Medium,0,51.98,71.02
124,Resort Hotel,2015-07-04,2015,July,73,Medium Term,Online TA,No Deposit,Transient,PRT,240.0,73.8,1,0,2,0,0,73.8,1,0.3277,Medium,0,24.18,49.62
125,Resort Hotel,2015-07-04,2015,July,33,Medium Term,Online TA,No Deposit,Transient,PRT,240.0,113.0,1,0,0,0,0,113.0,1,0.6893,High,1,77.89,35.11
126,Resort Hotel,2015-07-04,2015,July,32,Medium Term,Complementary,No Deposit,Transient,PRT,No Agent,0.0,1,0,1,0,0,0.0,0,0.1156,Low,0,0.0,0.0
127,Resort Hotel,2015-07-04,2015,July,8,Short Term,Online TA,No Deposit,Transient,ESP,240.0,123.0,1,0,0,0,0,123.0,0,0.0916,Low,0,11.27,111.73
128,Resort Hotel,2015-07-04,2015,July,100,Long Term,Online TA,No Deposit,Transient-Party,FRA,240.0,73.8,2,0,1,0,0,147.6,0,0.0112,Low,0,1.65,145.95
129,Resort Hotel,2015-07-04,2015,July,1,Last Minute,Online TA,No Deposit,Transient,PRT,240.0,114.5,2,0,0,0,0,229.0,0,0.1268,Low,0,29.04,199.96
130,Resort Hotel,2015-07-04,2015,July,100,Long Term,Online TA,No Deposit,Transient-Party,FRA,240.0,73.8,2,0,2,0,0,147.6,0,0.0096,Low,0,1.42,146.18
131,Resort Hotel,2015-07-04,2015,July,100,Long Term,Online TA,No Deposit,Transient-Party,FRA,240.0,73.8,2,0,1,0,0,147.6,0,0.0112,Low,0,1.65,145.95
132,Resort Hotel,2015-07-05,2015,July,9,Short Term,Online TA,No Deposit,Transient,ESP,240.0,88.2,1,0,1,0,0,88.2,0,0.0305,Low,0,2.69,85.51
133,Resort Hotel,2015-07-05,2015,July,5,Last Minute,Online TA,No Deposit,Transient,PRT,240.0,97.0,1,0,0,0,0,97.0,1,0.3317,Medium,0,32.17,64.83
134,Resort Hotel,2015-07-05,2015,July,0,Last Minute,Online TA,No Deposit,Transient,ESP,306.0,85.1,1,0,0,0,0,85.1,0,0.0028,Low,0,0.24,84.86
135,Resort Hotel,2015-07-05,2015,July,9,Short Term,Online TA,No Deposit,Transient,DEU,184.0,89.0,1,0,0,0,0,89.0,0,0.0123,Low,0,1.09,87.91
136,Resort Hotel,2015-07-05,2015,July,2,Last Minute,Online TA,No Deposit,Transient,PRT,240.0,80.1,1,0,0,0,0,80.1,0,0.1496,Low,0,11.98,68.12
137,Resort Hotel,2015-07-05,2015,July,2,Last Minute,Online TA,No Deposit,Transient,PRT,240.0,98.0,1,0,0,0,0,98.0,0,0.1612,Low,0,15.8,82.2
138,Resort Hotel,2015-07-05,2015,July,9,Short Term,Online TA,No Deposit,Transient,DEU,184.0,101.0,1,0,0,0,0,101.0,0,0.0135,Low,0,1.36,99.64
139,Resort Hotel,2015-07-05,2015,July,5,Last Minute,Online TA,No Deposit,Transient,PRT,240.0,97.0,1,0,0,0,0,97.0,1,0.3317,Medium,0,32.17,64.83
140,Resort Hotel,2015-07-05,2015,July,2,Last Minute,Direct,No Deposit,Transient,PRT,No Agent,167.0,1,0,1,0,0,167.0,0,0.0734,Low,0,12.26,154.74
141,Resort Hotel,2015-07-05,2015,July,44,Medium Term,Online TA,No Deposit,Transient,PRT,240.0,225.0,2,0,0,0,0,450.0,0,0.6949,High,1,312.7,137.3
142,Resort Hotel,2015-07-05,2015,July,80,Medium Term,Online TA,No Deposit,Transient,FRA,240.0,97.0,2,0,0,0,0,194.0,0,0.1985,Low,0,38.51,155.49
143,Resort Hotel,2015-07-05,2015,July,97,Long Term,Online TA,No Deposit,Transient,ESP,240.0,87.3,4,0,2,0,0,349.2,0,0.0504,Low,0,17.6,331.6
144,Resort Hotel,2015-07-05,2015,July,109,Long Term,Offline TA/TO,No Deposit,Transient,CN,241.0,85.59,5,0,2,0,0,427.9500000000001,0,0.0011,Low,0,0.47,427.48
145,Resort Hotel,2015-07-05,2015,July,30,Short Term,Online TA,No Deposit,Transient,ESP,240.0,123.0,5,0,0,0,0,615.0,0,0.2512,Medium,0,154.49,460.51
146,Resort Hotel,2015-07-05,2015,July,64,Medium Term,Online TA,No Deposit,Transient,PRT,240.0,107.0,5,0,0,0,0,535.0,0,0.7703,High,1,412.11,122.89
147,Resort Hotel,2015-07-05,2015,July,39,Medium Term,Online TA,No Deposit,Transient,ESP,240.0,163.0,6,0,0,0,0,978.0,0,0.2237,Low,0,218.78,759.22
148,Resort Hotel,2015-07-05,2015,July,90,Medium Term,Online TA,No Deposit,Transient,PRT,240.0,82.0,6,0,0,0,0,492.0,0,0.7706,High,1,379.14,112.86
149,Resort Hotel,2015-07-05,2015,July,34,Medium Term,Online TA,No Deposit,Transient,PRT,240.0,163.0,6,0,0,0,0,978.0,1,0.755,High,1,738.39,239.61
