priority_rank,booking_id,hotel,arrival_date,total_nights,days_in_waiting_list,adr,risk_prob,risk_level,estimated_revenue,expected_realised_revenue
32,43739,City Hotel,2015-09-23,3,33,224.67,0.0118,Low,674.01,666.06
33,31571,Resort Hotel,2016-12-30,2,1,367.0,0.1073,Low,734.0,655.24
34,34152,Resort Hotel,2017-03-05,10,6,64.28,0.0105,Low,642.8,636.05
35,107794,City Hotel,2017-03-11,8,1,80.0,0.007,Low,640.0,635.52
36,34158,Resort Hotel,2017-03-05,10,6,62.28,0.011,Low,622.8,615.95
37,104797,City Hotel,2017-01-15,8,25,75.0,0.0067,Low,600.0,595.98
38,104804,City Hotel,2017-01-15,8,25,75.0,0.0067,Low,600.0,595.98
39,109313,City Hotel,2017-04-02,7,63,85.0,0.0005,Low,595.0,594.7
40,99122,City Hotel,2016-10-04,6,162,96.67,0.0014,Low,580.02,579.21
41,99133,City Hotel,2016-10-04,6,162,96.67,0.0014,Low,580.02,579.21
42,99141,City Hotel,2016-10-04,6,162,96.67,0.0014,Low,580.02,579.21
43,99149,City Hotel,2016-10-04,6,162,96.67,0.0014,Low,580.02,579.21
44,50913,City Hotel,2016-05-11,4,176,143.5,0.0004,Low,574.0,573.77
45,50921,City Hotel,2016-05-11,4,176,143.5,0.0004,Low,574.0,573.77
46,49892,City Hotel,2016-04-20,4,176,143.5,0.0021,Low,574.0,572.79
47,36261,Resort Hotel,2017-05-08,7,61,81.43,0.0063,Low,570.01,566.42
48,35707,Resort Hotel,2017-04-23,7,64,80.94,0.0065,Low,566.5799999999999,562.9
49,8802,Resort Hotel,2016-10-14,7,125,80.81,0.0058,Low,565.6700000000001,562.39
50,46107,City Hotel,2015-12-09,4,69,139.5,0.0001,Low,558.0,557.94
51,35612,Resort Hotel,2017-04-23,6,154,93.0,0.0034,Low,558.0,556.1
52,8788,Resort Hotel,2016-10-14,7,125,80.81,0.023,Low,565.6700000000001,552.66
53,8789,Resort Hotel,2016-10-14,7,125,80.81,0.023,Low,565.6700000000001,552.66
54,8790,Resort Hotel,2016-10-14,7,125,80.81,0.023,Low,565.6700000000001,552.66
55,8792,Resort Hotel,2016-10-14,7,125,80.81,0.023,Low,565.6700000000001,552.66
56,8794,Resort Hotel,2016-10-14,7,125,80.81,0.023,Low,565.6700000000001,552.66
57,8798,Resort Hotel,2016-10-14,7,125,80.81,0.023,Low,565.6700000000001,552.66
58,109299,City Hotel,2017-04-04,5,7,110.0,0.0027,Low,550.0,548.52
59,35693,Resort Hotel,2017-04-23,7,64,78.94,0.018,Low,552.5799999999999,542.63
60,35703,Resort Hotel,2017-04-23,7,64,78.94,0.018,Low,552.5799999999999,542.63
61,8724,Resort Hotel,2016-10-11,7,150,80.81,0.0463,Low,565.6700000000001,539.48
62,8728,Resort Hotel,2016-10-11,7,150,80.81,0.0463,Low,565.6700000000001,539.48
63,28990,Resort Hotel,2016-10-11,7,150,80.81,0.0463,Low,565.6700000000001,539.48
64,99116,City Hotel,2016-10-04,6,162,90.0,0.0028,Low,540.0,538.49
65,99132,City Hotel,2016-10-04,6,162,90.0,0.0028,Low,540.0,538.49
66,99134,City Hotel,2016-10-04,6,162,90.0,0.0028,Low,540.0,538.49
67,31568,Resort Hotel,2016-12-30,2,97,325.0,0.1771,Low,650.0,534.88
68,19763,Resort Hotel,2016-10-01,5,1,108.4,0.0186,Low,542.0,531.92
69,43731,City Hotel,2015-09-23,3,33,177.33,0.0017,Low,531.99,531.09
70,3677,Resort Hotel,2015-12-30,4,122,138.5,0.0487,Low,554.0,527.02
71,28989,Resort Hotel,2016-10-11,7,150,78.81,0.0537,Low,551.6700000000001,522.05
72,28992,Resort Hotel,2016-10-11,7,150,78.81,0.0537,Low,551.6700000000001,522.05
73,31564,Resort Hotel,2016-12-30,2,1,295.0,0.1204,Low,590.0,518.96
74,35661,Resort Hotel,2017-04-22,7,14,74.0,0.0046,Low,518.0,515.62
75,105535,City Hotel,2017-02-04,7,14,75.0,0.0246,Low,525.0,512.08
76,3704,Resort Hotel,2015-12-30,4,122,136.5,0.0705,Low,546.0,507.51
77,31577,Resort Hotel,2016-12-30,2,97,305.0,0.1685,Low,610.0,507.22
78,32518,Resort Hotel,2017-01-22,7,4,72.0,0.0106,Low,504.0,498.66
79,8797,Resort Hotel,2016-10-14,7,125,71.36,0.0079,Low,499.52,495.57
80,8786,Resort Hotel,2016-10-14,7,125,71.56,0.0121,Low,500.92,494.86
81,8787,Resort Hotel,2016-10-14,7,125,71.56,0.0121,Low,500.92,494.86
82,8795,Resort Hotel,2016-10-14,7,125,71.56,0.0121,Low,500.92,494.86
83,8799,Resort Hotel,2016-10-14,7,125,71.56,0.0121,Low,500.92,494.86
84,110155,City Hotel,2017-04-19,4,22,124.0,0.0041,Low,496.0,493.97
85,3649,Resort Hotel,2015-12-30,4,122,136.5,0.1028,Low,546.0,489.87
86,3650,Resort Hotel,2015-12-30,4,122,136.5,0.1028,Low,546.0,489.87
87,3651,Resort Hotel,2015-12-30,4,122,136.5,0.1028,Low,546.0,489.87
88,3652,Resort Hotel,2015-12-30,4,122,136.5,0.1028,Low,546.0,489.87
89,3654,Resort Hotel,2015-12-30,4,122,136.5,0.1028,Low,546.0,489.87
90,3655,Resort Hotel,2015-12-30,4,122,136.5,0.1028,Low,546.0,489.87
91,3659,Resort Hotel,2015-12-30,4,122,136.5,0.1028,Low,546.0,489.87
92,3660,Resort Hotel,2015-12-30,4,122,136.5,0.1028,Low,546.0,489.87
93,3661,Resort Hotel,2015-12-30,4,122,136.5,0.1028,Low,546.0,489.87
94,3662,Resort Hotel,2015-12-30,4,122,136.5,0.1028,Low,546.0,489.87
95,3663,Resort Hotel,2015-12-30,4,122,136.5,0.1028,Low,546.0,489.87
96,3664,Resort Hotel,2015-12-30,4,122,136.5,0.1028,Low,546.0,489.87
97,3666,Resort Hotel,2015-12-30,4,122,136.5,0.1028,Low,546.0,489.87
98,3667,Resort Hotel,2015-12-30,4,122,136.5,0.1028,Low,546.0,489.87
99,3669,Resort Hotel,2015-12-30,4,122,136.5,0.1028,Low,546.0,489.87
100,3670,Resort Hotel,2015-12-30,4,122,136.5,0.1028,Low,546.0,489.87
101,3671,Resort Hotel,2015-12-30,4,122,136.5,0.1028,Low,546.0,489.87
102,3673,Resort Hotel,2015-12-30,4,122,136.5,0.1028,Low,546.0,489.87
103,3678,Resort Hotel,2015-12-30,4,122,136.5,0.1028,Low,546.0,489.87
104,3679,Resort Hotel,2015-12-30,4,122,136.5,0.1028,Low,546.0,489.87
105,3680,Resort Hotel,2015-12-30,4,122,136.5,0.1028,Low,546.0,489.87
106,3682,Resort Hotel,2015-12-30,4,122,136.5,0.1028,Low,546.0,489.87
107,3688,Resort Hotel,2015-12-30,4,122,136.5,0.1028,Low,546.0,489.87
108,3689,Resort Hotel,2015-12-30,4,122,136.5,0.1028,Low,546.0,489.87
109,3690,Resort Hotel,2015-12-30,4,122,136.5,0.1028,Low,546.0,489.87
110,3691,Resort Hotel,2015-12-30,4,122,136.5,0.1028,Low,546.0,489.87
111,3692,Resort Hotel,2015-12-30,4,122,136.5,0.1028,Low,546.0,489.87
112,3694,Resort Hotel,2015-12-30,4,122,136.5,0.1028,Low,546.0,489.87
113,3695,Resort Hotel,2015-12-30,4,122,136.5,0.1028,Low,546.0,489.87
114,3697,Resort Hotel,2015-12-30,4,122,136.5,0.1028,Low,546.0,489.87
115,3698,Resort Hotel,2015-12-30,4,122,136.5,0.1028,Low,546.0,489.87
116,3699,Resort Hotel,2015-12-30,4,122,136.5,0.1028,Low,546.0,489.87
117,3700,Resort Hotel,2015-12-30,4,122,136.5,0.1028,Low,546.0,489.87
118,3701,Resort Hotel,2015-12-30,4,122,136.5,0.1028,Low,546.0,489.87
119,3705,Resort Hotel,2015-12-30,4,122,136.5,0.1028,Low,546.0,489.87
120,28988,Resort Hotel,2016-10-11,7,150,71.36,0.0236,Low,499.52,487.73
121,36842,Resort Hotel,2017-05-23,8,99,62.81,0.0356,Low,502.48,484.59
122,8695,Resort Hotel,2016-10-09,7,101,67.99,0.0012,Low,475.93,475.36
123,8702,Resort Hotel,2016-10-09,7,101,67.99,0.016,Low,475.93,468.32
124,8705,Resort Hotel,2016-10-09,7,101,67.99,0.016,Low,475.93,468.32
125,8706,Resort Hotel,2016-10-09,7,101,67.99,0.016,Low,475.93,468.32
126,8707,Resort Hotel,2016-10-09,7,101,67.99,0.016,Low,475.93,468.32
127,8708,Resort Hotel,2016-10-09,7,101,67.99,0.016,Low,475.93,468.32
128,28936,Resort Hotel,2016-10-09,7,101,67.99,0.016,Low,475.93,468.32
129,8694,Resort Hotel,2016-10-09,7,101,66.28,0.0176,Low,463.96,455.79
130,8697,Resort Hotel,2016-10-09,7,101,66.28,0.0176,Low,463.96,455.79
131,8698,Resort Hotel,2016-10-09,7,101,66.28,0.0176,Low,463.96,455.79
132,8703,Resort Hotel,2016-10-09,7,101,66.28,0.0176,Low,463.96,455.79
133,8704,Resort Hotel,2016-10-09,7,101,66.28,0.0176,Low,463.96,455.79
134,28937,Resort Hotel,2016-10-09,7,101,66.28,0.0176,Low,463.96,455.79
135,109853,City Hotel,2017-04-14,4,49,113.0,0.0013,Low,452.0,451.41
136,111978,City Hotel,2017-05-13,5,36,89.1,0.0127,Low,445.5,439.84
137,49839,City Hotel,2016-04-20,4,187,110.0,0.0017,Low,440.0,439.25
138,43715,City Hotel,2015-09-23,3,33,177.33,0.1779,Low,531.99,437.35
139,43723,City Hotel,2015-09-23,3,33,177.33,0.1779,Low,531.99,437.35
140,90691,City Hotel,2016-06-06,4,12,110.0,0.0072,Low,440.0,436.83
141,34629,Resort Hotel,2017-03-24,7,6,63.2,0.0127,Low,442.4,436.78
142,43714,City Hotel,2015-09-23,3,33,224.67,0.3541,Medium,674.01,435.34
143,43717,City Hotel,2015-09-23,3,33,224.67,0.3541,Medium,674.01,435.34
144,43718,City Hotel,2015-09-23,3,33,224.67,0.3541,Medium,674.01,435.34
145,43722,City Hotel,2015-09-23,3,33,224.67,0.3541,Medium,674.01,435.34
146,43726,City Hotel,2015-09-23,3,33,224.67,0.3541,Medium,674.01,435.34
147,43736,City Hotel,2015-09-23,3,33,224.67,0.3541,Medium,674.01,435.34
148,43738,City Hotel,2015-09-23,3,33,224.67,0.3541,Medium,674.01,435.34
149,34633,Resort Hotel,2017-03-24,7,6,62.63,0.0127,Low,438.41,432.84
150,36064,Resort Hotel,2017-05-08,7,61,62.0,0.0052,Low,434.0,431.74
151,3107,Resort Hotel,2015-11-18,6,65,69.0,0.0014,Low,414.0,413.42
152,3108,Resort Hotel,2015-11-18,6,65,69.0,0.0014,Low,414.0,413.42
153,3109,Resort Hotel,2015-11-18,6,65,69.0,0.0014,Low,414.0,413.42
154,3112,Resort Hotel,2015-11-18,6,65,69.0,0.0014,Low,414.0,413.42
155,3113,Resort Hotel,2015-11-18,6,65,69.0,0.0014,Low,414.0,413.42
156,3114,Resort Hotel,2015-11-18,6,65,69.0,0.0014,Low,414.0,413.42
157,3116,Resort Hotel,2015-11-18,6,65,69.0,0.0014,Low,414.0,413.42
158,3117,Resort Hotel,2015-11-18,6,65,69.0,0.0014,Low,414.0,413.42
159,3118,Resort Hotel,2015-11-18,6,65,69.0,0.0014,Low,414.0,413.42
160,3120,Resort Hotel,2015-11-18,6,65,69.0,0.0014,Low,414.0,413.42
161,3122,Resort Hotel,2015-11-18,6,65,69.0,0.0014,Low,414.0,413.42
162,3124,Resort Hotel,2015-11-18,6,65,69.0,0.0014,Low,414.0,413.42
163,3125,Resort Hotel,2015-11-18,6,65,69.0,0.0014,Low,414.0,413.42
164,3126,Resort Hotel,2015-11-18,6,65,69.0,0.0014,Low,414.0,413.42
165,3129,Resort Hotel,2015-11-18,6,65,69.0,0.0014,Low,414.0,413.42
166,3132,Resort Hotel,2015-11-18,6,65,69.0,0.0014,Low,414.0,413.42
167,3133,Resort Hotel,2015-11-18,6,65,69.0,0.0014,Low,414.0,413.42
168,18559,Resort Hotel,2015-11-18,6,65,69.0,0.0014,Low,414.0,413.42
169,18560,Resort Hotel,2015-11-18,6,65,69.0,0.0014,Low,414.0,413.42
170,18561,Resort Hotel,2015-11-18,6,65,69.0,0.0014,Low,414.0,413.42
171,18562,Resort Hotel,2015-11-18,6,65,69.0,0.0014,Low,414.0,413.42
172,18563,Resort Hotel,2015-11-18,6,65,69.0,0.0014,Low,414.0,413.42
173,18564,Resort Hotel,2015-11-18,6,65,69.0,0.0014,Low,414.0,413.42
174,18565,Resort Hotel,2015-11-18,6,65,69.0,0.0014,Low,414.0,413.42
175,18584,Resort Hotel,2015-11-18,6,65,69.0,0.0014,Low,414.0,413.42
176,34650,Resort Hotel,2017-03-16,16,105,55.8,0.5449,High,892.8,406.31
177,87768,City Hotel,2016-04-21,5,48,81.2,0.001,Low,406.0,405.59
178,10561,Resort Hotel,2017-03-14,18,50,62.0,0.6368,High,1116.0,405.33
179,87769,City Hotel,2016-04-21,5,48,81.2,0.0022,Low,406.0,405.11
180,21744,Resort Hotel,2017-03-14,5,107,80.0,0.0013,Low,400.0,399.48
181,12692,Resort Hotel,2017-07-12,3,1,192.38,0.3135,Medium,577.14,396.21
182,50900,City Hotel,2016-05-11,4,176,99.0,0.0004,Low,396.0,395.84
183,50902,City Hotel,2016-05-11,4,176,99.0,0.0004,Low,396.0,395.84
184,50905,City Hotel,2016-05-11,4,176,99.0,0.0004,Low,396.0,395.84
185,50906,City Hotel,2016-05-11,4,176,99.0,0.0004,Low,396.0,395.84
186,50907,City Hotel,2016-05-11,4,176,99.0,0.0004,Low,396.0,395.84
187,50911,City Hotel,2016-05-11,4,176,99.0,0.0004,Low,396.0,395.84
188,50914,City Hotel,2016-05-11,4,176,99.0,0.0004,Low,396.0,395.84
189,50915,City Hotel,2016-05-11,4,176,99.0,0.0004,Low,396.0,395.84
190,50917,City Hotel,2016-05-11,4,176,99.0,0.0004,Low,396.0,395.84
191,50918,City Hotel,2016-05-11,4,176,99.0,0.0004,Low,396.0,395.84
192,50920,City Hotel,2016-05-11,4,176,99.0,0.0004,Low,396.0,395.84
193,50922,City Hotel,2016-05-11,4,176,99.0,0.0004,Low,396.0,395.84
194,50924,City Hotel,2016-05-11,4,176,99.0,0.0004,Low,396.0,395.84
195,50925,City Hotel,2016-05-11,4,176,99.0,0.0004,Low,396.0,395.84
196,50929,City Hotel,2016-05-11,4,176,99.0,0.0004,Low,396.0,395.84
197,50930,City Hotel,2016-05-11,4,176,99.0,0.0004,Low,396.0,395.84
198,49823,City Hotel,2016-04-20,4,176,99.0,0.007,Low,396.0,393.23
199,49824,City Hotel,2016-04-20,4,176,99.0,0.007,Low,396.0,393.23
200,49830,City Hotel,2016-04-20,4,176,99.0,0.007,Low,396.0,393.23
201,49834,City Hotel,2016-04-20,4,176,99.0,0.007,Low,396.0,393.23
202,49835,City Hotel,2016-04-20,4,176,99.0,0.007,Low,396.0,393.23
203,49844,City Hotel,2016-04-20,4,176,99.0,0.007,Low,396.0,393.23
204,49845,City Hotel,2016-04-20,4,176,99.0,0.007,Low,396.0,393.23
205,49853,City Hotel,2016-04-20,4,176,99.0,0.007,Low,396.0,393.23
206,49859,City Hotel,2016-04-20,4,176,99.0,0.007,Low,396.0,393.23
207,49876,City Hotel,2016-04-20,4,176,99.0,0.007,Low,396.0,393.23
208,49877,City Hotel,2016-04-20,4,176,99.0,0.007,Low,396.0,393.23
209,49888,City Hotel,2016-04-20,4,176,99.0,0.007,Low,396.0,393.23
210,49889,City Hotel,2016-04-20,4,176,99.0,0.007,Low,396.0,393.23
211,49904,City Hotel,2016-04-20,4,176,99.0,0.007,Low,396.0,393.23
212,49905,City Hotel,2016-04-20,4,176,99.0,0.007,Low,396.0,393.23
213,49913,City Hotel,2016-04-20,4,176,99.0,0.007,Low,396.0,393.23
214,49920,City Hotel,2016-04-20,4,176,99.0,0.007,Low,396.0,393.23
215,46345,City Hotel,2015-12-30,3,111,130.67,0.0012,Low,392.01,391.54
216,46104,City Hotel,2015-12-09,4,69,113.5,0.1383,Low,454.0,391.21
217,49261,City Hotel,2016-04-08,5,224,78.0,0.0047,Low,390.0,388.17
218,112021,City Hotel,2017-05-16,3,9,130.0,0.0062,Low,390.0,387.58
219,3119,Resort Hotel,2015-11-18,6,65,71.0,0.0957,Low,426.0,385.23
220,17860,Resort Hotel,2015-10-19,5,47,76.8,0.0052,Low,384.0,382.0
221,109265,City Hotel,2017-04-05,4,65,95.0,0.0007,Low,380.0,379.73
222,44158,City Hotel,2015-10-01,6,59,100.0,0.3682,Medium,600.0,379.08
223,2487,Resort Hotel,2015-10-19,5,47,76.8,0.016,Low,384.0,377.86
224,2488,Resort Hotel,2015-10-19,5,47,76.8,0.016,Low,384.0,377.86
225,2489,Resort Hotel,2015-10-19,5,47,76.8,0.016,Low,384.0,377.86
226,2491,Resort Hotel,2015-10-19,5,47,76.8,0.016,Low,384.0,377.86
227,2492,Resort Hotel,2015-10-19,5,47,76.8,0.016,Low,384.0,377.86
228,2493,Resort Hotel,2015-10-19,5,47,76.8,0.016,Low,384.0,377.86
229,2494,Resort Hotel,2015-10-19,5,47,76.8,0.016,Low,384.0,377.86
230,2495,Resort Hotel,2015-10-19,5,47,76.8,0.016,Low,384.0,377.86
231,2497,Resort Hotel,2015-10-19,5,47,76.8,0.016,Low,384.0,377.86
232,2498,Resort Hotel,2015-10-19,5,47,76.8,0.016,Low,384.0,377.86
233,2499,Resort Hotel,2015-10-19,5,47,76.8,0.016,Low,384.0,377.86
234,2500,Resort Hotel,2015-10-19,5,47,76.8,0.016,Low,384.0,377.86
235,2501,Resort Hotel,2015-10-19,5,47,76.8,0.016,Low,384.0,377.86
236,2502,Resort Hotel,2015-10-19,5,47,76.8,0.016,Low,384.0,377.86
237,2503,Resort Hotel,2015-10-19,5,47,76.8,0.016,Low,384.0,377.86
238,2504,Resort Hotel,2015-10-19,5,47,76.8,0.016,Low,384.0,377.86
239,2505,Resort Hotel,2015-10-19,5,47,76.8,0.016,Low,384.0,377.86
240,2507,Resort Hotel,2015-10-19,5,47,76.8,0.016,Low,384.0,377.86
241,2508,Resort Hotel,2015-10-19,5,47,76.8,0.016,Low,384.0,377.86
242,2511,Resort Hotel,2015-10-19,5,47,76.8,0.016,Low,384.0,377.86
243,17859,Resort Hotel,2015-10-19,5,47,76.8,0.016,Low,384.0,377.86
244,44132,City Hotel,2015-09-30,3,80,125.0,0.0034,Low,375.0,373.72
245,44136,City Hotel,2015-09-30,3,80,125.0,0.0034,Low,375.0,373.72
246,44137,City Hotel,2015-09-30,3,80,125.0,0.0034,Low,375.0,373.72
247,44138,City Hotel,2015-09-30,3,80,125.0,0.0034,Low,375.0,373.72
248,44145,City Hotel,2015-09-30,3,80,125.0,0.0034,Low,375.0,373.72
249,89145,City Hotel,2016-05-15,3,1,125.0,0.0046,Low,375.0,373.28
250,15129,Resort Hotel,2017-04-13,3,8,126.5,0.0258,Low,379.5,369.71
251,35992,Resort Hotel,2017-04-30,7,8,54.71,0.0462,Low,382.97,365.28
252,31561,Resort Hotel,2016-12-30,2,97,340.0,0.4644,Medium,680.0,364.21
253,3702,Resort Hotel,2015-12-30,4,122,94.25,0.0355,Low,377.0,363.62
254,46745,City Hotel,2016-01-18,5,63,71.6,0.0024,Low,358.0,357.14
255,46719,City Hotel,2016-01-17,5,63,71.0,0.0036,Low,355.0,353.72
256,103984,City Hotel,2016-12-29,5,35,70.0,0.001,Low,350.0,349.65
257,33189,Resort Hotel,2017-02-13,4,113,88.0,0.0081,Low,352.0,349.15
258,51758,City Hotel,2016-05-24,3,3,160.0,0.2734,Medium,480.0,348.77
259,51759,City Hotel,2016-05-24,3,3,160.0,0.2734,Medium,480.0,348.77
260,51760,City Hotel,2016-05-24,3,3,160.0,0.2734,Medium,480.0,348.77
261,51762,City Hotel,2016-05-24,3,3,160.0,0.2734,Medium,480.0,348.77
262,98156,City Hotel,2016-09-22,3,178,116.33,0.0106,Low,348.99,345.29
263,98116,City Hotel,2016-09-22,3,178,116.33,0.0187,Low,348.99,342.46
264,98143,City Hotel,2016-09-22,3,178,116.33,0.0187,Low,348.99,342.46
265,98144,City Hotel,2016-09-22,3,178,116.33,0.0187,Low,348.99,342.46
266,98145,City Hotel,2016-09-22,3,178,116.33,0.0187,Low,348.99,342.46
267,98147,City Hotel,2016-09-22,3,178,116.33,0.0187,Low,348.99,342.46
268,98151,City Hotel,2016-09-22,3,178,116.33,0.0187,Low,348.99,342.46
269,98155,City Hotel,2016-09-22,3,178,116.33,0.0187,Low,348.99,342.46
270,109305,City Hotel,2017-04-05,4,63,85.0,0.0013,Low,340.0,339.56
271,49893,City Hotel,2016-04-20,4,176,84.5,0.0025,Low,338.0,337.16
272,49914,City Hotel,2016-04-20,4,176,84.5,0.0025,Low,338.0,337.16
273,8709,Resort Hotel,2016-10-09,10,101,72.45,0.5427,High,724.5,331.31
274,50912,City Hotel,2016-05-11,4,176,99.0,0.1676,Low,396.0,329.63
275,99062,City Hotel,2016-10-06,3,81,109.0,0.0009,Low,327.0,326.71
276,45633,City Hotel,2015-11-17,5,87,65.0,0.0013,Low,325.0,324.58
277,99879,City Hotel,2016-10-16,4,99,81.0,0.0022,Low,324.0,323.29
278,8800,Resort Hotel,2016-10-14,7,125,46.36,0.0086,Low,324.52,321.73
279,52711,City Hotel,2016-06-09,3,48,107.23,0.0029,Low,321.69,320.76
280,79618,City Hotel,2015-10-28,3,6,107.0,0.0022,Low,321.0,320.29
281,79619,City Hotel,2015-10-28,3,6,107.0,0.0022,Low,321.0,320.29
282,79624,City Hotel,2015-10-28,3,6,107.0,0.0022,Low,321.0,320.29
283,79625,City Hotel,2015-10-28,3,6,107.0,0.0022,Low,321.0,320.29
284,49854,City Hotel,2016-04-20,4,187,80.0,0.0006,Low,320.0,319.81
285,49861,City Hotel,2016-04-20,4,187,80.0,0.0006,Low,320.0,319.81
286,57513,City Hotel,2016-09-26,3,223,107.0,0.0093,Low,321.0,318.01
287,29046,Resort Hotel,2017-03-19,4,122,80.0,0.007,Low,320.0,317.76
288,49818,City Hotel,2016-04-20,4,187,80.0,0.0072,Low,320.0,317.7
289,49825,City Hotel,2016-04-20,4,187,80.0,0.0072,Low,320.0,317.7
290,49826,City Hotel,2016-04-20,4,187,80.0,0.0072,Low,320.0,317.7
291,49862,City Hotel,2016-04-20,4,187,80.0,0.0072,Low,320.0,317.7
292,49879,City Hotel,2016-04-20,4,187,80.0,0.0072,Low,320.0,317.7
293,49882,City Hotel,2016-04-20,4,187,80.0,0.0072,Low,320.0,317.7
294,49883,City Hotel,2016-04-20,4,187,80.0,0.0072,Low,320.0,317.7
295,49898,City Hotel,2016-04-20,4,187,80.0,0.0072,Low,320.0,317.7
296,49899,City Hotel,2016-04-20,4,187,80.0,0.0072,Low,320.0,317.7
297,49906,City Hotel,2016-04-20,4,187,80.0,0.0072,Low,320.0,317.7
298,49915,City Hotel,2016-04-20,4,187,80.0,0.0072,Low,320.0,317.7
299,49916,City Hotel,2016-04-20,4,187,80.0,0.0072,Low,320.0,317.7
300,23171,Resort Hotel,2017-03-21,7,43,45.51,0.0035,Low,318.57,317.46
301,98662,City Hotel,2016-09-30,3,11,106.0,0.0133,Low,318.0,313.77
302,8700,Resort Hotel,2016-10-09,7,101,44.81,0.0064,Low,313.67,311.66
303,57431,City Hotel,2016-09-26,3,223,107.0,0.0295,Low,321.0,311.53
304,57432,City Hotel,2016-09-26,3,223,107.0,0.0295,Low,321.0,311.53
305,57437,City Hotel,2016-09-26,3,223,107.0,0.0295,Low,321.0,311.53
306,57438,City Hotel,2016-09-26,3,223,107.0,0.0295,Low,321.0,311.53
307,57440,City Hotel,2016-09-26,3,223,107.0,0.0295,Low,321.0,311.53
308,57441,City Hotel,2016-09-26,3,223,107.0,0.0295,Low,321.0,311.53
309,57451,City Hotel,2016-09-26,3,223,107.0,0.0295,Low,321.0,311.53
310,57456,City Hotel,2016-09-26,3,223,107.0,0.0295,Low,321.0,311.53
311,57458,City Hotel,2016-09-26,3,223,107.0,0.0295,Low,321.0,311.53
312,57462,City Hotel,2016-09-26,3,223,107.0,0.0295,Low,321.0,311.53
313,57463,City Hotel,2016-09-26,3,223,107.0,0.0295,Low,321.0,311.53
314,57467,City Hotel,2016-09-26,3,223,107.0,0.0295,Low,321.0,311.53
315,57469,City Hotel,2016-09-26,3,223,107.0,0.0295,Low,321.0,311.53
316,57477,City Hotel,2016-09-26,3,223,107.0,0.0295,Low,321.0,311.53
317,57486,City Hotel,2016-09-26,3,223,107.0,0.0295,Low,321.0,311.53
318,57489,City Hotel,2016-09-26,3,223,107.0,0.0295,Low,321.0,311.53
319,57492,City Hotel,2016-09-26,3,223,107.0,0.0295,Low,321.0,311.53
320,57496,City Hotel,2016-09-26,3,223,107.0,0.0295,Low,321.0,311.53
321,57497,City Hotel,2016-09-26,3,223,107.0,0.0295,Low,321.0,311.53
322,57511,City Hotel,2016-09-26,3,223,107.0,0.0295,Low,321.0,311.53
